Frame, Time (ms)
    1,     0.000
    2,     9.264
    3,    18.294
    4,    27.759
    5,    38.983
    6,    50.501
    7,    60.218
    8,    72.081
    9,    81.524
   10,    92.852
   11,   103.351
   12,   113.425
   13,   125.361
   14,   138.585
   15,   148.149
   16,   157.220
   17,   168.188
   18,   179.071
   19,   190.291
   20,   203.498
   21,   213.247
   22,   222.956
   23,   233.713
   24,   243.618
   25,   254.945
   26,   268.923
   27,   276.143
   28,   287.860
   29,   299.100
   30,   309.997
   31,   320.769
   32,   331.779
   33,   344.900
   34,   354.051
   35,   365.279
   36,   375.522
   37,   386.677
   38,   397.632
   39,   410.367
   40,   420.053
   41,   429.544
   42,   442.287
   43,   452.812
   44,   462.987
   45,   476.283
   46,   485.945
   47,   496.473
   48,   507.967
   49,   526.933
   50,   536.077
   51,   543.647
   52,   553.502
   53,   563.798
   54,   575.159
   55,   586.195
   56,   596.753
   57,   609.039
   58,   619.495
   59,   630.662
   60,   642.429
   61,   653.191
   62,   664.577
   63,   678.965
   64,   687.978
   65,   698.771
   66,   709.298
   67,   721.574
   68,   733.692
   69,   743.423
   70,   754.821
   71,   766.554
   72,   777.525
   73,   789.541
   74,   804.001
   75,   811.917
   76,   823.990
   77,   835.383
   78,   845.911
   79,   858.490
   80,   870.849
   81,   880.847
   82,   892.831
   83,   905.658
   84,   915.761
   85,   926.975
   86,   940.949
   87,   950.511
   88,   961.589
   89,   973.551
   90,   985.851
   91,   997.119
   92,  1009.799
   93,  1020.509
   94,  1031.514
   95,  1043.824
   96,  1055.973
   97,  1068.381
   98,  1077.457
   99,  1090.236
  100,  1101.789
  101,  1113.222
  102,  1125.697
  103,  1138.048
  104,  1148.294
  105,  1159.264
  106,  1170.786
  107,  1182.023
  108,  1193.417
  109,  1209.284
  110,  1217.479
  111,  1228.097
  112,  1240.971
  113,  1251.539
  114,  1262.394
  115,  1275.700
  116,  1286.984
  117,  1297.252
  118,  1309.104
  119,  1320.842
  120,  1331.046
  121,  1345.992
  122,  1355.442
  123,  1367.531
  124,  1377.330
  125,  1389.527
  126,  1402.153
  127,  1412.126
  128,  1424.785
  129,  1435.935
  130,  1446.275
  131,  1458.647
  132,  1471.466
  133,  1481.643
  134,  1492.898
  135,  1504.262
  136,  1515.611
  137,  1526.523
  138,  1540.422
  139,  1549.872
  140,  1561.323
  141,  1574.197
  142,  1585.602
  143,  1595.391
  144,  1609.191
  145,  1618.547
  146,  1629.483
  147,  1641.354
  148,  1652.876
  149,  1663.676
  150,  1677.006
  151,  1687.821
  152,  1699.225
  153,  1710.434
  154,  1722.419
  155,  1736.499
  156,  1745.475
  157,  1757.483
  158,  1770.079
  159,  1780.552
  160,  1792.739
  161,  1805.753
  162,  1816.095
  163,  1827.460
  164,  1839.921
  165,  1851.835
  166,  1862.730
  167,  1876.567
  168,  1886.936
  169,  1898.260
  170,  1911.163
  171,  1923.099
  172,  1935.254
  173,  1946.029
  174,  1958.523
  175,  1970.416
  176,  1981.485
  177,  1994.906
  178,  2007.932
  179,  2017.091
  180,  2028.942
  181,  2041.586
  182,  2054.058
  183,  2064.469
  184,  2078.025
  185,  2089.088
  186,  2101.299
  187,  2112.583
  188,  2125.006
  189,  2138.383
  190,  2147.669
  191,  2160.968
  192,  2173.564
  193,  2185.240
  194,  2195.950
  195,  2210.918
  196,  2221.156
  197,  2233.601
  198,  2244.969
  199,  2257.417
  200,  2273.359
  201,  2281.254
  202,  2294.457
  203,  2306.618
  204,  2318.710
  205,  2330.012
  206,  2344.713
  207,  2356.812
  208,  2368.501
  209,  2381.165
  210,  2394.078
  211,  2407.664
  212,  2419.182
  213,  2430.626
  214,  2443.893
  215,  2456.796
  216,  2469.862
  217,  2480.384
  218,  2493.683
  219,  2506.981
  220,  2518.847
  221,  2531.196
  222,  2547.946
  223,  2574.053
  224,  2581.626
  225,  2591.165
  226,  2601.028
  227,  2607.943
  228,  2622.299
  229,  2632.360
  230,  2645.417
  231,  2658.748
  232,  2673.174
  233,  2684.041
  234,  2697.346
  235,  2709.326
  236,  2721.414
  237,  2735.189
  238,  2745.974
  239,  2759.992
  240,  2772.917
  241,  2786.492
  242,  2796.861
  243,  2813.179
  244,  2823.651
  245,  2835.605
  246,  2847.181
  247,  2861.965
  248,  2875.907
  249,  2886.282
  250,  2898.500
  251,  2912.225
  252,  2924.296
  253,  2938.462
  254,  2948.077
  255,  2961.190
  256,  2973.921
  257,  2987.115
  258,  2998.036
  259,  3012.673
  260,  3023.251
  261,  3035.607
  262,  3046.755
  263,  3060.986
  264,  3075.918
  265,  3085.308
  266,  3096.552
  267,  3109.458
  268,  3121.900
  269,  3134.906
  270,  3145.313
  271,  3159.170
  272,  3171.084
  273,  3182.211
  274,  3195.929
  275,  3209.212
  276,  3219.892
  277,  3230.756
  278,  3244.719
  279,  3256.938
  280,  3269.408
  281,  3280.685
  282,  3293.442
  283,  3306.142
  284,  3318.414
  285,  3329.273
  286,  3347.201
  287,  3356.627
  288,  3367.541
  289,  3379.543
  290,  3392.924
  291,  3406.557
  292,  3418.138
  293,  3429.539
  294,  3442.917
  295,  3455.878
  296,  3469.003
  297,  3479.440
  298,  3492.697
  299,  3505.904
  300,  3517.769
  301,  3529.598
  302,  3544.114
  303,  3561.634
  304,  3571.723
  305,  3581.120
  306,  3593.155
  307,  3607.496
  308,  3617.841
  309,  3629.517
  310,  3642.928
