Frame, Time (ms)
    1,     0.000
    2,     8.827
    3,    17.863
    4,    27.724
    5,    39.738
    6,    48.702
    7,    59.779
    8,    70.987
    9,    80.430
   10,    93.483
   11,   105.460
   12,   112.000
   13,   124.199
   14,   135.236
   15,   144.340
   16,   156.441
   17,   166.257
   18,   178.792
   19,   188.290
   20,   199.200
   21,   210.279
   22,   221.225
   23,   230.418
   24,   245.039
   25,   253.987
   26,   262.921
   27,   274.330
   28,   285.198
   29,   295.571
   30,   308.087
   31,   317.671
   32,   327.683
   33,   339.548
   34,   350.232
   35,   361.539
   36,   374.440
   37,   381.785
   38,   393.547
   39,   405.024
   40,   415.827
   41,   427.124
   42,   439.039
   43,   448.281
   44,   459.972
   45,   471.316
   46,   480.977
   47,   493.143
   48,   506.054
   49,   514.650
   50,   526.901
   51,   537.547
   52,   547.644
   53,   559.589
   54,   571.924
   55,   581.092
   56,   593.804
   57,   603.922
   58,   613.984
   59,   626.370
   60,   640.403
   61,   647.649
   62,   659.778
   63,   670.820
   64,   681.621
   65,   693.012
   66,   705.664
   67,   715.400
   68,   727.368
   69,   738.654
   70,   748.762
   71,   762.418
   72,   774.617
   73,   783.225
   74,   795.051
   75,   806.538
   76,   818.123
   77,   828.840
   78,   842.265
   79,   852.753
   80,   863.236
   81,   876.526
   82,   887.788
   83,   898.156
   84,   912.162
   85,   921.943
   86,   932.890
   87,   944.870
   88,   956.966
   89,   967.876
   90,   980.310
   91,   992.336
   92,  1003.705
   93,  1014.046
   94,  1025.843
   95,  1039.621
   96,  1048.706
   97,  1060.452
   98,  1072.083
   99,  1082.995
  100,  1095.342
  101,  1108.081
  102,  1118.173
  103,  1129.127
  104,  1141.693
  105,  1153.925
  106,  1163.336
  107,  1179.246
  108,  1187.527
  109,  1199.079
  110,  1210.281
  111,  1221.736
  112,  1232.462
  113,  1245.258
  114,  1256.605
  115,  1268.844
  116,  1278.626
  117,  1290.137
  118,  1303.872
  119,  1312.240
  120,  1325.388
  121,  1337.183
  122,  1348.586
  123,  1359.644
  124,  1371.272
  125,  1381.061
  126,  1392.729
  127,  1404.589
  128,  1414.648
  129,  1427.255
  130,  1440.680
  131,  1449.224
  132,  1461.851
  133,  1473.539
  134,  1484.266
  135,  1495.394
  136,  1508.351
  137,  1519.091
  138,  1529.286
  139,  1541.791
  140,  1553.031
  141,  1562.893
  142,  1576.531
  143,  1586.789
  144,  1597.172
  145,  1609.541
  146,  1620.623
  147,  1632.098
  148,  1645.036
  149,  1655.773
  150,  1667.695
  151,  1677.668
  152,  1691.042
  153,  1705.498
  154,  1713.563
  155,  1725.949
  156,  1737.865
  157,  1747.899
  158,  1761.305
  159,  1773.482
  160,  1783.244
  161,  1796.026
  162,  1808.121
  163,  1820.180
  164,  1830.199
  165,  1845.612
  166,  1855.228
  167,  1866.677
  168,  1878.605
  169,  1890.771
  170,  1903.601
  171,  1913.048
  172,  1926.099
  173,  1937.773
  174,  1948.345
  175,  1961.528
  176,  1975.591
  177,  1986.202
  178,  1996.279
  179,  2009.274
  180,  2020.178
  181,  2030.920
  182,  2044.857
  183,  2055.889
  184,  2068.121
  185,  2078.589
  186,  2091.819
  187,  2105.734
  188,  2114.001
  189,  2128.484
  190,  2139.406
  191,  2150.114
  192,  2163.428
  193,  2176.615
  194,  2186.993
  195,  2199.364
  196,  2212.483
  197,  2223.429
  198,  2238.673
  199,  2247.467
  200,  2259.937
  201,  2274.827
  202,  2285.579
  203,  2296.482
  204,  2311.089
  205,  2323.407
  206,  2333.241
  207,  2346.968
  208,  2359.749
  209,  2374.333
  210,  2383.596
  211,  2396.571
  212,  2409.319
  213,  2421.829
  214,  2433.032
  215,  2448.444
  216,  2459.602
  217,  2472.253
  218,  2483.371
  219,  2497.071
  220,  2510.531
  221,  2522.969
  222,  2533.413
  223,  2548.992
  224,  2584.668
  225,  2593.454
  226,  2600.939
  227,  2609.197
  228,  2616.520
  229,  2629.708
  230,  2643.285
  231,  2654.535
  232,  2666.561
  233,  2680.023
  234,  2693.193
  235,  2707.348
  236,  2717.978
  237,  2729.522
  238,  2742.738
  239,  2756.200
  240,  2770.591
  241,  2779.754
  242,  2793.370
  243,  2806.624
  244,  2818.939
  245,  2830.472
  246,  2844.804
  247,  2857.290
  248,  2869.892
  249,  2881.191
  250,  2894.323
  251,  2908.603
  252,  2919.362
  253,  2930.572
  254,  2944.179
  255,  2956.928
  256,  2969.624
  257,  2980.808
  258,  2993.761
  259,  3006.251
  260,  3018.720
  261,  3030.012
  262,  3044.765
  263,  3055.515
  264,  3066.336
  265,  3080.115
  266,  3092.774
  267,  3105.868
  268,  3116.138
  269,  3129.704
  270,  3141.480
  271,  3154.225
  272,  3164.825
  273,  3180.732
  274,  3190.924
  275,  3204.329
  276,  3214.829
  277,  3228.259
  278,  3241.726
  279,  3252.919
  280,  3264.621
  281,  3278.033
  282,  3296.363
  283,  3309.666
  284,  3318.790
  285,  3327.384
  286,  3339.952
  287,  3351.314
  288,  3363.673
  289,  3377.598
  290,  3388.491
  291,  3400.043
  292,  3413.248
  293,  3425.433
  294,  3439.606
  295,  3450.055
  296,  3462.670
  297,  3475.965
  298,  3487.789
  299,  3499.015
  300,  3513.381
  301,  3525.548
  302,  3538.753
  303,  3548.896
  304,  3562.612
  305,  3585.251
  306,  3593.653
  307,  3601.548
  308,  3610.930
  309,  3624.552
  310,  3638.318
  311,  3648.367
  312,  3661.835
  313,  3674.757
  314,  3687.142
  315,  3697.923
  316,  3713.392
  317,  3724.496
  318,  3736.102
  319,  3747.874
  320,  3762.013
  321,  3775.017
  322,  3786.079
  323,  3797.599
  324,  3811.349
  325,  3823.831
  326,  3839.614
  327,  3847.880
  328,  3861.313
  329,  3874.748
  330,  3886.496
  331,  3898.039
  332,  3912.396
  333,  3924.783
  334,  3936.724
  335,  3948.237
  336,  3962.254
  337,  3976.193
  338,  3988.145
  339,  3998.527
  340,  4013.100
  341,  4025.840
  342,  4039.749
  343,  4050.326
  344,  4063.645
  345,  4075.714
  346,  4088.610
  347,  4098.280
  348,  4114.789
  349,  4126.391
  350,  4139.344
  351,  4148.910
  352,  4162.628
  353,  4175.949
  354,  4187.263
  355,  4200.927
  356,  4213.151
  357,  4224.392
  358,  4238.857
  359,  4248.329
  360,  4261.620
  361,  4275.082
  362,  4286.646
  363,  4298.726
  364,  4313.341
  365,  4324.391
  366,  4336.163
  367,  4347.854
  368,  4360.718
  369,  4376.985
  370,  4385.486
  371,  4396.919
  372,  4410.175
  373,  4422.707
  374,  4435.982
  375,  4446.884
  376,  4459.721
  377,  4472.563
  378,  4484.726
  379,  4497.205
  380,  4511.573
  381,  4523.112
  382,  4534.680
  383,  4546.250
  384,  4559.332
  385,  4573.184
  386,  4582.983
  387,  4596.167
  388,  4608.679
  389,  4621.469
  390,  4632.061
  391,  4648.054
  392,  4658.750
  393,  4671.051
  394,  4682.077
  395,  4695.755
  396,  4709.541
  397,  4721.493
  398,  4731.997
  399,  4745.452
  400,  4758.037
  401,  4772.174
  402,  4781.222
  403,  4800.514
  404,  4809.436
  405,  4820.762
  406,  4832.429
  407,  4845.900
  408,  4856.786
  409,  4868.953
  410,  4880.793
  411,  4892.923
  412,  4907.940
  413,  4917.916
  414,  4929.203
  415,  4942.760
  416,  4955.066
  417,  4966.355
  418,  4980.964
  419,  4992.790
  420,  5003.781
  421,  5014.820
  422,  5027.745
  423,  5042.421
  424,  5052.506
  425,  5063.643
  426,  5076.661
  427,  5089.759
  428,  5099.916
  429,  5114.574
  430,  5125.499
  431,  5137.680
  432,  5149.020
  433,  5162.569
  434,  5176.816
  435,  5187.192
  436,  5199.613
  437,  5212.019
  438,  5223.856
  439,  5237.835
  440,  5247.573
  441,  5261.339
  442,  5273.449
  443,  5285.919
  444,  5298.004
